,0,1,2,3,4,5,6,7
320,Jos Buttler (c)†,c †Tucker b Little,0,2,3,0,0,0.00
321,Alex Hales,c Adair b Little,7,5,14,1,0,140.00
322,Dawid Malan,c Hand b McCarthy,35,37,66,2,0,94.59
323,Ben Stokes,b Hand,6,8,14,0,0,75.00
324,Harry Brook,c Delany b Dockrell,18,21,30,1,0,85.71
325,Moeen Ali,not out,24,12,18,3,1,200.00
326,Liam Livingstone,not out,1,2,7,0,0,50.00
327,Temba Bavuma (c),c †Nurul Hasan b Taskin Ahmed,2,6,6,0,0,33.33
328,Quinton de Kock †,c Soumya Sarkar b Afif Hossain,63,38,77,7,3,165.78
329,Rilee Rossouw,c Litton Das b Shakib Al Hasan,109,56,90,7,8,194.64
330,Tristan Stubbs,c Litton Das b Shakib Al Hasan,7,7,9,1,0,100.00
331,Aiden Markram,c Soumya Sarkar b Hasan Mahmud,10,11,16,1,0,90.90
332,David Miller,not out,2,4,8,0,0,50.00
333,Wayne Parnell,not out,0,2,2,0,0,0.00
334,Najmul Hossain Shanto,b Nortje,9,9,15,1,0,100.00
335,Soumya Sarkar,c †de Kock b Nortje,15,6,11,0,2,250.00
336,Litton Das,c Stubbs b Shamsi,34,31,57,1,1,109.67
337,Shakib Al Hasan (c),lbw b Nortje,1,4,11,0,0,25.00
338,Afif Hossain,c Parnell b Rabada,1,5,8,0,0,20.00
339,Mehidy Hasan Miraz,c Markram b Shamsi,11,13,17,0,0,84.61
340,Mosaddek Hossain,st †de Kock b Maharaj,0,3,4,0,0,0.00
341,Nurul Hasan †,c Nortje b Shamsi,2,6,7,0,0,33.33
342,Taskin Ahmed,b Nortje,10,17,22,1,0,58.82
343,Hasan Mahmud,run out (Rabada),0,2,7,0,0,0.00
344,Mustafizur Rahman,not out,9,3,8,0,1,300.00
345,KL Rahul,lbw b van Meekeren,9,12,12,1,0,75.00
346,Rohit Sharma (c),c Ackermann b Klaassen,53,39,53,4,3,135.89
347,Virat Kohli,not out,62,44,79,3,2,140.90
348,Suryakumar Yadav,not out,51,25,38,7,1,204.00
349,Vikramjit Singh,b Kumar,1,9,13,0,0,11.11
350,Max O'Dowd,b Patel,16,10,22,3,0,160.00
351,Bas de Leede,c Pandya b Patel,16,23,27,0,0,69.56
352,Colin Ackermann,c Patel b Ashwin,17,21,31,1,0,80.95
353,Tom Cooper,c sub (DJ Hooda) b Ashwin,9,12,12,0,0,75.00
354,Scott Edwards (c)†,c sub (DJ Hooda) b Kumar,5,8,21,0,0,62.50
355,Tim Pringle,c Kohli b Mohammed Shami,20,15,14,1,1,133.33
356,Logan van Beek,c †Karthik b Arshdeep Singh,3,5,11,0,0,60.00
357,Shariz Ahmad,not out,16,11,18,2,0,145.45
358,Fred Klaassen,lbw b Arshdeep Singh,0,1,3,0,0,0.00
359,Paul van Meekeren,not out,14,6,9,3,0,233.33
360,Wessly Madhevere,lbw b Mohammad Wasim,17,13,30,3,0,130.76
361,Craig Ervine (c),c Mohammad Wasim b Haris Rauf,19,19,26,2,0,100.00
362,Milton Shumba,c & b Shadab Khan,8,10,22,1,0,80.00
363,Sean Williams,b Shadab Khan,31,28,37,3,0,110.71
364,Sikandar Raza,c Haris Rauf b Mohammad Wasim,9,16,22,1,0,56.25
365,Regis Chakabva †,c Babar Azam b Shadab Khan,0,1,2,0,0,0.00
366,Ryan Burl,not out,10,15,30,0,0,66.66
367,Luke Jongwe,b Mohammad Wasim,0,1,2,0,0,0.00
368,Brad Evans,b Mohammad Wasim,19,15,24,0,1,126.66
369,Richard Ngarava,not out,3,2,3,0,0,150.00
370,Mohammad Rizwan †,b Muzarabani,14,16,23,1,1,87.50
371,Babar Azam (c),c Burl b Evans,4,9,17,1,0,44.44
372,Shan Masood,st †Chakabva b Sikandar Raza,44,38,61,3,0,115.78
373,Iftikhar Ahmed,c †Chakabva b Jongwe,5,10,16,1,0,50.00
374,Shadab Khan,c Williams b Sikandar Raza,17,14,27,0,1,121.42
375,Haider Ali,lbw b Sikandar Raza,0,1,3,0,0,0.00
376,Mohammad Nawaz,c Ervine b Evans,22,18,36,1,1,122.22
377,Mohammad Wasim,not out,12,13,29,2,0,92.30
378,Shaheen Shah Afridi,run out (Sikandar Raza/†Chakabva),1,1,3,0,0,100.00
379,Finn Allen,b Theekshana,1,3,3,0,0,33.33
380,Devon Conway †,b DM de Silva,1,4,14,0,0,25.00
381,Kane Williamson (c),c †Mendis b Rajitha,8,13,18,1,0,61.53
382,Glenn Phillips,c Shanaka b Kumara,104,64,87,10,4,162.50
383,Daryl Mitchell,b PWH de Silva,22,24,52,0,0,91.66
384,James Neesham,c Shanaka b Rajitha,5,8,15,0,0,62.50
385,Mitchell Santner,not out,11,5,17,0,1,220.00
386,Ish Sodhi,run out (sub [KNA Bandara]/†Mendis),1,1,3,0,0,100.00
387,Tim Southee,not out,4,1,1,1,0,400.00
388,Pathum Nissanka,lbw b Southee,0,5,5,0,0,0.00
389,Kusal Mendis †,c †Conway b Boult,4,3,9,1,0,133.33
390,Dhananjaya de Silva,b Boult,0,3,8,0,0,0.00
